datetime,00060_from dcp_Maximum,00060_from dcp_Maximum_cd,site_no,00060_from dcp_Minimum,00060_from dcp_Minimum_cd,00060_from dcp_Mean,00060_from dcp_Mean_cd
2015-08-19 00:00:00+00:00,190.0,A,08049300,151.0,A,176.0,A
2015-08-20 00:00:00+00:00,202.0,A,08049300,151.0,A,179.0,A
2015-08-21 00:00:00+00:00,214.0,A,08049300,171.0,A,193.0,A
2015-08-22 00:00:00+00:00,214.0,A,08049300,155.0,A,190.0,A
2015-08-23 00:00:00+00:00,230.0,A,08049300,169.0,A,198.0,A
2015-08-24 00:00:00+00:00,224.0,A,08049300,164.0,A,195.0,A
2015-08-25 00:00:00+00:00,200.0,A,08049300,151.0,A,181.0,A
2015-08-26 00:00:00+00:00,197.0,A,08049300,154.0,A,179.0,A
2015-08-27 00:00:00+00:00,195.0,A,08049300,149.0,A,176.0,A
2015-08-28 00:00:00+00:00,192.0,A,08049300,145.0,A,173.0,A
2015-08-29 00:00:00+00:00,202.0,A,08049300,142.0,A,173.0,A
2015-08-30 00:00:00+00:00,221.0,A,08049300,130.0,A,179.0,A
2015-08-31 00:00:00+00:00,223.0,A,08049300,152.0,A,191.0,A
2015-09-01 00:00:00+00:00,197.0,A,08049300,151.0,A,177.0,A
2015-09-02 00:00:00+00:00,187.0,A,08049300,142.0,A,171.0,A
2015-09-03 00:00:00+00:00,187.0,A,08049300,143.0,A,173.0,A
2015-09-04 00:00:00+00:00,188.0,A,08049300,148.0,A,175.0,A
2015-09-05 00:00:00+00:00,192.0,A,08049300,140.0,A,170.0,A
2015-09-06 00:00:00+00:00,190.0,A,08049300,130.0,A,164.0,A
2015-09-07 00:00:00+00:00,198.0,A,08049300,132.0,A,167.0,A
2015-09-08 00:00:00+00:00,198.0,A,08049300,139.0,A,176.0,A
2015-09-09 00:00:00+00:00,2400.0,A,08049300,177.0,A,1240.0,A
2015-09-10 00:00:00+00:00,1070.0,A,08049300,351.0,A,614.0,A
2015-09-11 00:00:00+00:00,351.0,A,08049300,230.0,A,271.0,A
2015-09-12 00:00:00+00:00,235.0,A,08049300,174.0,A,207.0,A
2015-09-13 00:00:00+00:00,214.0,A,08049300,157.0,A,191.0,A
2015-09-14 00:00:00+00:00,209.0,A,08049300,154.0,A,184.0,A
2015-09-15 00:00:00+00:00,195.0,A,08049300,146.0,A,175.0,A
2015-09-16 00:00:00+00:00,195.0,A,08049300,152.0,A,180.0,A
2015-09-17 00:00:00+00:00,197.0,A,08049300,151.0,A,179.0,A
2015-09-18 00:00:00+00:00,198.0,A,08049300,158.0,A,185.0,A
2015-09-19 00:00:00+00:00,217.0,A,08049300,155.0,A,188.0,A
2015-09-20 00:00:00+00:00,243.0,A,08049300,197.0,A,225.0,A
2015-09-21 00:00:00+00:00,232.0,A,08049300,169.0,A,199.0,A
2015-09-22 00:00:00+00:00,207.0,A,08049300,163.0,A,191.0,A
2015-09-23 00:00:00+00:00,203.0,A,08049300,161.0,A,187.0,A
2015-09-24 00:00:00+00:00,202.0,A,08049300,155.0,A,183.0,A
2015-09-25 00:00:00+00:00,197.0,A,08049300,155.0,A,179.0,A
2015-09-26 00:00:00+00:00,193.0,A,08049300,140.0,A,171.0,A
2015-09-27 00:00:00+00:00,193.0,A,08049300,136.0,A,170.0,A
2015-09-28 00:00:00+00:00,193.0,A,08049300,140.0,A,172.0,A
2015-09-29 00:00:00+00:00,185.0,A,08049300,137.0,A,170.0,A
2015-09-30 00:00:00+00:00,185.0,A,08049300,142.0,A,169.0,A
2015-10-01 00:00:00+00:00,183.0,A,08049300,137.0,A,166.0,A
2015-10-02 00:00:00+00:00,177.0,A,08049300,136.0,A,162.0,A
2015-10-03 00:00:00+00:00,185.0,A,08049300,130.0,A,161.0,A
2015-10-04 00:00:00+00:00,188.0,A,08049300,129.0,A,162.0,A
2015-10-05 00:00:00+00:00,187.0,A,08049300,133.0,A,164.0,A
2015-10-06 00:00:00+00:00,180.0,A,08049300,133.0,A,163.0,A
2015-10-07 00:00:00+00:00,183.0,A,08049300,133.0,A,165.0,A
2015-10-08 00:00:00+00:00,182.0,A,08049300,143.0,A,167.0,A
2015-10-09 00:00:00+00:00,182.0,A,08049300,136.0,A,166.0,A
2015-10-10 00:00:00+00:00,202.0,A,08049300,139.0,A,170.0,A
2015-10-11 00:00:00+00:00,197.0,A,08049300,135.0,A,170.0,A
2015-10-12 00:00:00+00:00,192.0,A,08049300,133.0,A,168.0,A
2015-10-13 00:00:00+00:00,188.0,A,08049300,137.0,A,167.0,A
2015-10-14 00:00:00+00:00,182.0,A,08049300,139.0,A,165.0,A
2015-10-15 00:00:00+00:00,188.0,A,08049300,140.0,A,169.0,A
2015-10-16 00:00:00+00:00,180.0,A,08049300,128.0,A,163.0,A
2015-10-17 00:00:00+00:00,187.0,A,08049300,124.0,A,157.0,A
2015-10-18 00:00:00+00:00,193.0,A,08049300,124.0,A,160.0,A
2015-10-19 00:00:00+00:00,187.0,A,08049300,130.0,A,162.0,A
2015-10-20 00:00:00+00:00,175.0,A,08049300,128.0,A,156.0,A
