datetime,00060_from dcp_Mean,00060_from dcp_Mean_cd,site_no
1970-11-18 00:00:00+00:00,22.0,A,08057300
1970-11-19 00:00:00+00:00,18.0,A,08057300
1970-11-20 00:00:00+00:00,16.0,A,08057300
1970-11-21 00:00:00+00:00,14.0,A,08057300
1970-11-22 00:00:00+00:00,14.0,A,08057300
1970-11-23 00:00:00+00:00,15.0,A,08057300
1970-11-24 00:00:00+00:00,21.0,A,08057300
1970-11-25 00:00:00+00:00,18.0,A,08057300
1970-11-26 00:00:00+00:00,18.0,A,08057300
1970-11-27 00:00:00+00:00,19.0,A,08057300
1970-11-28 00:00:00+00:00,19.0,A,08057300
1970-11-29 00:00:00+00:00,19.0,A,08057300
1970-11-30 00:00:00+00:00,18.0,A,08057300
1970-12-01 00:00:00+00:00,18.0,A,08057300
1970-12-02 00:00:00+00:00,17.0,A,08057300
1970-12-03 00:00:00+00:00,16.0,A,08057300
1970-12-04 00:00:00+00:00,13.0,A,08057300
1970-12-05 00:00:00+00:00,12.0,A,08057300
1970-12-06 00:00:00+00:00,8.0,A,08057300
1970-12-07 00:00:00+00:00,0.0,A,08057300
1970-12-08 00:00:00+00:00,0.0,A,08057300
1970-12-09 00:00:00+00:00,0.0,A,08057300
1970-12-10 00:00:00+00:00,0.0,A,08057300
1970-12-11 00:00:00+00:00,0.0,A,08057300
1970-12-12 00:00:00+00:00,0.0,A,08057300
1970-12-13 00:00:00+00:00,0.0,A,08057300
1970-12-14 00:00:00+00:00,0.0,A,08057300
1970-12-15 00:00:00+00:00,0.0,A,08057300
1970-12-16 00:00:00+00:00,0.0,A,08057300
1970-12-17 00:00:00+00:00,0.0,A,08057300
1970-12-18 00:00:00+00:00,0.0,A,08057300
1970-12-19 00:00:00+00:00,0.0,A,08057300
1970-12-20 00:00:00+00:00,0.0,A,08057300
1970-12-21 00:00:00+00:00,0.0,A,08057300
1970-12-22 00:00:00+00:00,0.0,A,08057300
1970-12-23 00:00:00+00:00,0.0,A,08057300
1970-12-24 00:00:00+00:00,0.0,A,08057300
1970-12-25 00:00:00+00:00,0.0,A,08057300
1970-12-26 00:00:00+00:00,0.0,A,08057300
1970-12-27 00:00:00+00:00,0.0,A,08057300
1970-12-28 00:00:00+00:00,0.0,A,08057300
1970-12-29 00:00:00+00:00,0.0,A,08057300
1970-12-30 00:00:00+00:00,0.0,A,08057300
1970-12-31 00:00:00+00:00,0.0,A,08057300
1971-01-01 00:00:00+00:00,0.0,A,08057300
1971-01-02 00:00:00+00:00,0.0,A,08057300
1971-01-03 00:00:00+00:00,0.0,A,08057300
1971-01-04 00:00:00+00:00,0.0,A,08057300
1971-01-05 00:00:00+00:00,0.0,A,08057300
1971-01-06 00:00:00+00:00,0.0,A,08057300
1971-01-07 00:00:00+00:00,0.0,A,08057300
1971-01-08 00:00:00+00:00,0.0,A,08057300
1971-01-09 00:00:00+00:00,0.0,A,08057300
1971-01-10 00:00:00+00:00,0.0,A,08057300
1971-01-11 00:00:00+00:00,0.0,A,08057300
1971-01-12 00:00:00+00:00,0.0,A,08057300
1971-01-13 00:00:00+00:00,0.0,A,08057300
1971-01-14 00:00:00+00:00,0.0,A,08057300
1971-01-15 00:00:00+00:00,0.0,A,08057300
1971-01-16 00:00:00+00:00,0.0,A,08057300
1971-01-17 00:00:00+00:00,0.0,A,08057300
1971-01-18 00:00:00+00:00,0.0,A,08057300
1971-01-19 00:00:00+00:00,0.0,A,08057300
1971-01-20 00:00:00+00:00,0.0,A,08057300
1971-01-21 00:00:00+00:00,0.0,A,08057300
1971-01-22 00:00:00+00:00,0.0,A,08057300
1971-01-23 00:00:00+00:00,0.0,A,08057300
1971-01-24 00:00:00+00:00,0.0,A,08057300
1971-01-25 00:00:00+00:00,0.0,A,08057300
1971-01-26 00:00:00+00:00,0.0,A,08057300
1971-01-27 00:00:00+00:00,0.0,A,08057300
1971-01-28 00:00:00+00:00,0.0,A,08057300
1971-01-29 00:00:00+00:00,0.0,A,08057300
1971-01-30 00:00:00+00:00,0.0,A,08057300
1971-01-31 00:00:00+00:00,0.0,A,08057300
1971-02-01 00:00:00+00:00,0.0,A,08057300
1971-02-02 00:00:00+00:00,0.0,A,08057300
1971-02-03 00:00:00+00:00,0.0,A,08057300
1971-02-04 00:00:00+00:00,0.0,A,08057300
1971-02-05 00:00:00+00:00,0.0,A,08057300
1971-02-06 00:00:00+00:00,0.0,A,08057300
1971-02-07 00:00:00+00:00,0.0,A,08057300
1971-02-08 00:00:00+00:00,0.0,A,08057300
1971-02-09 00:00:00+00:00,0.0,A,08057300
1971-02-10 00:00:00+00:00,0.0,A,08057300
1971-02-11 00:00:00+00:00,0.0,A,08057300
1971-02-12 00:00:00+00:00,0.0,A,08057300
1971-02-13 00:00:00+00:00,0.0,A,08057300
1971-02-14 00:00:00+00:00,0.0,A,08057300
1971-02-15 00:00:00+00:00,0.0,A,08057300
1971-02-16 00:00:00+00:00,0.0,A,08057300
1971-02-17 00:00:00+00:00,0.0,A,08057300
1971-02-18 00:00:00+00:00,0.0,A,08057300
1971-02-19 00:00:00+00:00,0.0,A,08057300
1971-02-20 00:00:00+00:00,60.0,A,08057300
1971-02-21 00:00:00+00:00,107.0,A,08057300
1971-02-22 00:00:00+00:00,109.0,A,08057300
1971-02-23 00:00:00+00:00,96.0,A,08057300
1971-02-24 00:00:00+00:00,83.0,A,08057300
1971-02-25 00:00:00+00:00,75.0,A,08057300
1971-02-26 00:00:00+00:00,77.0,A,08057300
1971-02-27 00:00:00+00:00,68.0,A,08057300
1971-02-28 00:00:00+00:00,62.0,A,08057300
1971-03-01 00:00:00+00:00,52.0,A,08057300
1971-03-02 00:00:00+00:00,49.0,A,08057300
1971-03-03 00:00:00+00:00,45.0,A,08057300
1971-03-04 00:00:00+00:00,41.0,A,08057300
1971-03-05 00:00:00+00:00,33.0,A,08057300
1971-03-06 00:00:00+00:00,32.0,A,08057300
1971-03-07 00:00:00+00:00,32.0,A,08057300
1971-03-08 00:00:00+00:00,32.0,A,08057300
1971-03-09 00:00:00+00:00,30.0,A,08057300
1971-03-10 00:00:00+00:00,27.0,A,08057300
1971-03-11 00:00:00+00:00,26.0,A,08057300
1971-03-12 00:00:00+00:00,23.0,A,08057300
1971-03-13 00:00:00+00:00,20.0,A,08057300
1971-03-14 00:00:00+00:00,18.0,A,08057300
1971-03-15 00:00:00+00:00,15.0,A,08057300
1971-03-16 00:00:00+00:00,14.0,A,08057300
1971-03-17 00:00:00+00:00,12.0,A,08057300
1971-03-18 00:00:00+00:00,10.0,A,08057300
1971-03-19 00:00:00+00:00,8.8,A,08057300
1971-03-20 00:00:00+00:00,7.6,A,08057300
1971-03-21 00:00:00+00:00,6.8,A,08057300
1971-03-22 00:00:00+00:00,6.2,A,08057300
1971-03-23 00:00:00+00:00,6.0,A,08057300
1971-03-24 00:00:00+00:00,5.8,A,08057300
1971-03-25 00:00:00+00:00,6.0,A,08057300
1971-03-26 00:00:00+00:00,4.0,A,08057300
1971-03-27 00:00:00+00:00,0.0,A,08057300
1971-03-28 00:00:00+00:00,0.0,A,08057300
1971-03-29 00:00:00+00:00,0.0,A,08057300
1971-03-30 00:00:00+00:00,0.0,A,08057300
1971-03-31 00:00:00+00:00,0.0,A,08057300
1971-04-01 00:00:00+00:00,0.0,A,08057300
1971-04-02 00:00:00+00:00,0.0,A,08057300
1971-04-03 00:00:00+00:00,0.0,A,08057300
1971-04-04 00:00:00+00:00,0.0,A,08057300
1971-04-05 00:00:00+00:00,0.0,A,08057300
1971-04-06 00:00:00+00:00,0.0,A,08057300
1971-04-07 00:00:00+00:00,0.0,A,08057300
1971-04-08 00:00:00+00:00,0.0,A,08057300
1971-04-09 00:00:00+00:00,0.0,A,08057300
1971-04-10 00:00:00+00:00,0.0,A,08057300
1971-04-11 00:00:00+00:00,0.0,A,08057300
1971-04-12 00:00:00+00:00,0.0,A,08057300
1971-04-13 00:00:00+00:00,0.0,A,08057300
1971-04-14 00:00:00+00:00,0.0,A,08057300
1971-04-15 00:00:00+00:00,0.0,A,08057300
1971-04-16 00:00:00+00:00,0.0,A,08057300
1971-04-17 00:00:00+00:00,0.0,A,08057300
1971-04-18 00:00:00+00:00,0.0,A,08057300
1971-04-19 00:00:00+00:00,0.0,A,08057300
1971-04-20 00:00:00+00:00,0.0,A,08057300
1971-04-21 00:00:00+00:00,0.0,A,08057300
1971-04-22 00:00:00+00:00,0.0,A,08057300
1971-04-23 00:00:00+00:00,0.0,A,08057300
1971-04-24 00:00:00+00:00,0.0,A,08057300
1971-04-25 00:00:00+00:00,0.0,A,08057300
1971-04-26 00:00:00+00:00,0.0,A,08057300
1971-04-27 00:00:00+00:00,0.0,A,08057300
1971-04-28 00:00:00+00:00,0.0,A,08057300
1971-04-29 00:00:00+00:00,0.0,A,08057300
1971-04-30 00:00:00+00:00,0.0,A,08057300
1971-05-01 00:00:00+00:00,0.0,A,08057300
1971-05-02 00:00:00+00:00,0.0,A,08057300
1971-05-03 00:00:00+00:00,0.0,A,08057300
1971-05-04 00:00:00+00:00,0.0,A,08057300
1971-05-05 00:00:00+00:00,0.0,A,08057300
1971-05-06 00:00:00+00:00,0.0,A,08057300
1971-05-07 00:00:00+00:00,0.0,A,08057300
1971-05-08 00:00:00+00:00,0.0,A,08057300
1971-05-09 00:00:00+00:00,0.0,A,08057300
1971-05-10 00:00:00+00:00,0.0,A,08057300
1971-05-11 00:00:00+00:00,0.0,A,08057300
1971-05-12 00:00:00+00:00,0.0,A,08057300
1971-05-13 00:00:00+00:00,0.0,A,08057300
1971-05-14 00:00:00+00:00,0.0,A,08057300
1971-05-15 00:00:00+00:00,0.0,A,08057300
1971-05-16 00:00:00+00:00,0.0,A,08057300
1971-05-17 00:00:00+00:00,0.0,A,08057300
1971-05-18 00:00:00+00:00,0.0,A,08057300
1971-05-19 00:00:00+00:00,0.0,A,08057300
1971-05-20 00:00:00+00:00,0.0,A,08057300
1971-05-21 00:00:00+00:00,0.0,A,08057300
1971-05-22 00:00:00+00:00,0.0,A,08057300
1971-05-23 00:00:00+00:00,0.0,A,08057300
1971-05-24 00:00:00+00:00,0.0,A,08057300
1971-05-25 00:00:00+00:00,0.0,A,08057300
1971-05-26 00:00:00+00:00,0.0,A,08057300
1971-05-27 00:00:00+00:00,0.94,A,08057300
1971-05-28 00:00:00+00:00,2.1,A,08057300
